"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"352210",51.74,8.75,0.52,38.54,0.44,1,4,3,3,4,9.71,4
"352215",30.57,6.34,0.2,62.89,NA,1,3,2,4,NA,NA,NA
"352220",41.97,11.8,0.55,45.5,0.16,1,4,3,4,4,12.51,4
"352230",69.74,3.47,1.02,25.69,0.08,4,1,4,1,3,4.57,1
"352240",69.43,3.43,0.54,26.57,0.04,4,1,3,1,2,4.01,1
"352250",38.92,10.67,0.18,50.18,0.04,1,4,1,4,2,10.89,4
"352260",71.82,5.45,0.26,22.43,0.04,4,2,2,1,2,5.75,2
"352265",50.49,2.6,0.05,46.86,NA,1,1,1,4,NA,NA,NA
"352270",71.79,3.68,0.31,24.2,0.02,4,1,2,1,1,4.01,1
"352280",73.84,2.71,1.33,21.63,0.48,4,1,4,1,4,4.52,1
"352290",62.15,6.86,0.12,30.87,0.01,3,3,1,2,1,6.99,3
"352300",37.95,6.91,0.5,54.64,NA,1,4,3,4,NA,NA,NA
"352310",39.81,10.68,0.27,49.09,0.13,1,4,2,4,4,11.08,4
"352320",74.05,3.25,0.36,22.23,0.11,4,1,2,1,4,3.72,1
"352330",43.47,7.25,2.27,46.47,0.54,1,4,4,4,4,10.06,4
"352340",63.16,6.79,0.68,29.33,0.04,3,3,3,2,2,7.51,3
"352350",63.03,5.99,0.08,30.82,0.07,3,3,1,2,3,6.14,2
"352360",58.58,7.39,0.24,33.74,0.05,2,4,2,3,2,7.68,3
"352370",51.55,8.6,0.26,39.54,0.05,1,4,2,4,2,8.91,4
"352380",60.44,5.8,0.12,33.62,0.01,2,3,1,3,1,5.93,2
"352390",62.39,6.56,0.47,30.51,0.07,3,3,3,2,3,7.1,3
"352400",55.79,6.62,0.85,36.67,0.06,2,3,4,3,2,7.53,3
"352410",58.27,7.47,0.84,33.37,0.05,2,4,4,3,2,8.36,4
"352420",52.26,8.52,0.29,38.61,0.32,1,4,2,3,4,9.13,4
"352430",65.03,6.65,0.87,27.42,0.03,3,3,4,1,1,7.55,3
"352440",64.4,6.19,0.87,28.47,0.07,3,3,4,2,3,7.13,3
"352450",60.9,5.96,0.26,32.81,0.07,2,3,2,2,3,6.29,2
"352460",51.12,4.13,0.38,44.28,0.09,1,1,3,4,3,4.6,1
"352470",64.5,5.39,0.5,29.55,0.05,3,2,3,2,2,5.94,2
"352480",69.22,3.41,1.82,25.53,0.02,4,1,4,1,1,5.25,2
"352490",66.47,4.47,0.53,28.47,0.06,3,2,3,2,2,5.06,1
"352500",46.51,10.31,0.42,42.69,0.07,1,4,3,4,3,10.8,4
"352510",57.23,7.93,0.31,34.48,0.04,2,4,2,3,2,8.28,4
"352520",54.62,5.6,0.57,39.12,0.09,2,2,3,3,3,6.26,2
"352530",71.42,5.69,0.25,22.59,0.04,4,3,2,1,2,5.98,2
"352540",46,10.23,0.34,43.28,0.1,1,4,2,4,3,10.67,4
"352550",69.61,3.49,0.37,26.48,0.06,4,1,3,1,2,3.92,1
"352560",51.38,8.3,0.3,39.95,0.07,1,4,2,4,3,8.67,4
"352570",68.32,4.13,0.22,27.31,0.02,4,1,2,1,1,4.37,1
