"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"354515",78.03,3.39,0.06,18.45,0.05,4,1,1,1,2,3.5,1
"354520",63.13,6.86,0.46,29.49,0.06,3,3,3,2,2,7.38,3
"354530",64.07,5.2,0.57,30.09,0.08,3,2,3,2,3,5.85,2
"354540",65.17,4.95,0.43,29.38,0.07,3,2,3,2,3,5.45,2
"354550",38.96,8.75,0.22,52.02,0.05,1,4,2,4,2,9.02,4
"354560",67.04,4.39,0.27,28.24,0.06,4,2,2,2,2,4.72,1
"354570",61.32,5.27,1.11,32.11,0.19,3,2,4,2,4,6.57,3
"354580",65.43,5.59,0.29,28.65,0.04,3,2,2,2,2,5.92,2
"354600",65.14,5.27,0.22,29.32,0.04,3,2,2,2,2,5.53,2
"354610",59.01,4.97,0.23,35.8,NA,2,2,2,3,NA,NA,NA
"354620",79,2.6,0.16,18.14,0.09,4,1,1,1,3,2.85,1
"354625",63.71,6.57,0.19,29.54,NA,3,3,1,2,NA,NA,NA
"354630",54.77,7.46,0.14,37.56,0.07,2,4,1,3,3,7.67,3
"354640",73.04,4.2,0.5,22.2,0.05,4,1,3,1,2,4.75,1
"354650",46.99,7.14,0.11,45.67,0.08,1,4,1,4,3,7.33,3
"354660",66.17,3.9,1.51,28.34,0.09,3,1,4,2,3,5.5,2
"354670",57.45,6.44,0.09,35.95,0.07,2,3,1,3,3,6.6,3
"354680",61.41,5.86,0.93,31.73,0.07,3,3,4,2,3,6.86,3
"354690",54.65,8.6,0.17,36.56,0.01,2,4,1,3,1,8.78,4
"354700",56.42,6.26,0.17,37.08,0.08,2,3,1,3,3,6.51,3
"354710",52.37,5.92,0.81,40.87,0.03,1,3,4,4,1,6.76,3
"354720",71.56,2.75,0.78,24.91,NA,4,1,4,1,NA,NA,NA
"354730",54.96,7.25,0.96,36.71,0.11,2,4,4,3,4,8.32,4
"354740",73.14,3.37,1.61,21.88,NA,4,1,4,1,NA,NA,NA
"354750",70.95,5.9,0.18,22.91,0.06,4,3,1,1,2,6.14,2
"354760",59.01,7.07,0.15,33.72,0.06,2,4,1,3,2,7.28,3
"354765",77.14,2.07,0.36,20.43,NA,4,1,2,1,NA,NA,NA
"354770",60.99,4.82,1.44,32.71,0.04,3,2,4,2,2,6.3,2
"354780",65.16,6.43,1.31,27.02,0.08,3,3,4,1,3,7.82,3
"354790",64.72,4.62,0.03,30.6,NA,3,2,1,2,NA,NA,NA
"354800",61.07,5.27,0.25,33.39,0.01,3,2,2,3,1,5.53,2
"354805",43.85,6.99,0.66,48.39,0.11,1,4,3,4,4,7.76,3
"354810",74.44,4.11,0.08,21.34,0.03,4,1,1,1,1,4.22,1
"354820",79.71,2.2,1.19,16.78,0.11,4,1,4,1,4,3.5,1
"354830",49.4,5.23,0.8,44.33,0.23,1,2,4,4,4,6.26,2
"354840",42.09,8.13,2.03,47.63,0.13,1,4,4,4,4,10.29,4
"354850",67.52,6.69,1.02,24.67,0.09,4,3,4,1,3,7.8,3
"354860",79.74,2.39,0.16,17.69,0.02,4,1,1,1,1,2.57,1
"354870",58.96,7.23,1.44,32.24,0.13,2,4,4,2,4,8.8,4
"354880",79.35,3.66,2.01,14.87,0.11,4,1,4,1,4,5.78,2
"354890",67.03,7.11,0.78,24.95,0.13,4,4,4,1,4,8.02,4
"354900",68.45,3.96,0.19,27.29,0.12,4,1,1,1,4,4.27,1
"354910",74.67,5.61,0.2,19.49,0.03,4,2,2,1,1,5.84,2
"354920",56.01,3.91,0.08,40,NA,2,1,1,4,NA,NA,NA
"354925",46.05,8.02,0.11,45.83,NA,1,4,1,4,NA,NA,NA
"354930",65.7,5.49,0.27,28.55,NA,3,2,2,2,NA,NA,NA
"354940",54.38,10.31,0.33,34.93,0.06,2,4,2,3,2,10.7,4
"354950",51.02,7.88,0.21,40.87,0.01,1,4,2,4,1,8.1,4
"354960",62,5.14,0.03,32.81,0.03,3,2,1,2,1,5.2,2
"354970",67.96,5.83,0.17,26.02,0.02,4,3,1,1,1,6.02,2
"354980",67.53,5.88,0.85,25.67,0.06,4,3,4,1,2,6.79,3
"354990",66.37,6.19,1.29,26.06,0.09,3,3,4,1,3,7.57,3
"354995",54.53,6.11,1.31,37.97,0.07,2,3,4,3,3,7.49,3
"355000",74.46,2.87,0.21,22.37,0.06,4,1,2,1,2,3.14,1
"355010",65.37,6.04,0.26,28.31,0.02,3,3,2,2,1,6.32,2
"355020",66.54,2.25,2.8,28.3,0.11,3,1,4,2,4,5.16,2
"355030",54.26,10.13,2.08,33.36,0.15,2,4,4,3,4,12.36,4
"355040",70.85,3.68,0.69,24.71,0.07,4,1,3,1,3,4.44,1
"355050",69.79,3.63,0.18,26.4,NA,4,1,1,1,NA,NA,NA
"355060",60.27,6.46,0.82,32.32,0.12,2,3,4,2,4,7.4,3
"355070",47.49,9.18,0.55,42.21,0.56,1,4,3,4,4,10.29,4
"355080",68.46,6.04,0.02,25.43,0.05,4,3,1,1,2,6.11,2
"355090",63.09,8.32,0.19,28.38,0.02,3,4,1,2,1,8.53,4
"355100",46.17,10.81,0.35,42.54,0.13,1,4,2,4,4,11.29,4
"355110",69.51,3.1,0.41,26.87,0.09,4,1,3,1,3,3.6,1
"355120",73.14,3.16,0.13,23.46,0.11,4,1,1,1,4,3.4,1
"355130",66.45,5.59,0.06,27.86,0.03,3,2,1,2,1,5.68,2
"355140",48.82,9.23,0.12,41.81,0.02,1,4,1,4,1,9.37,4
"355150",46.41,9.31,0.14,44.12,0.03,1,4,1,4,1,9.48,4
"355160",76.19,3.39,0.31,20.05,0.06,4,1,2,1,2,3.76,1
"355170",51.55,8.57,0.27,39.55,0.06,1,4,2,4,2,8.9,4
"355180",45.47,5.56,1.01,47.01,0.93,1,2,4,4,4,7.5,3
"355190",49.81,6.34,0.05,43.79,0.01,1,3,1,4,1,6.4,3
"355200",63.13,5.67,0.03,31.15,0.02,3,3,1,2,1,5.72,2
"355210",79.64,2.55,0.42,17.34,0.04,4,1,3,1,2,3.01,1
"355220",66.57,6.04,1.09,26.21,0.09,3,3,4,1,3,7.22,3
"355230",51.19,4.47,0.41,43.93,NA,1,2,3,4,NA,NA,NA
"355240",52.54,8.13,0.49,38.77,0.07,1,4,3,3,3,8.69,4
"355250",46.75,9.73,2.22,41.2,0.1,1,4,4,4,4,12.05,4
"355255",46.57,4.72,0.44,48.27,NA,1,2,3,4,NA,NA,NA
"355260",67.23,3.99,0.16,28.58,0.04,4,1,1,2,2,4.19,1
"355270",62.75,3.97,0.28,32.96,0.04,3,1,2,3,2,4.29,1
"355280",46.53,12.42,0.89,40.03,0.12,1,4,4,4,4,13.43,4
"355290",53.74,4.87,0.22,40.91,0.26,2,2,2,4,4,5.35,2
"355300",75.37,2.06,0.25,22.18,0.14,4,1,2,1,4,2.45,1
"355310",61.35,5.11,0.25,33.24,0.05,3,2,2,3,2,5.41,2
"355320",65.3,5.27,0.7,28.65,0.08,3,2,3,2,3,6.05,2
"355330",62.49,5.8,0.13,31.5,0.08,3,3,1,2,3,6.01,2
"355340",66.57,4.93,0.28,28.18,0.04,3,2,2,2,2,5.25,2
"355350",55.73,5.72,2,34.72,1.84,2,3,4,3,4,9.56,4
"355360",59.46,6.04,0.08,34.36,0.05,2,3,1,3,2,6.17,2
"355365",60.37,5.92,0.65,33.07,NA,2,3,3,3,NA,NA,NA
"355370",61.73,5.68,0.78,31.74,0.07,3,3,4,2,3,6.53,3
"355380",67.58,3.13,0.51,28.69,0.09,4,1,3,2,3,3.73,1
"355385",66.26,2.18,0.51,30.9,0.15,3,1,3,2,4,2.84,1
"355390",43.7,7.28,1.79,47.2,0.03,1,4,4,4,1,9.1,4
"355395",56.15,5.29,0.13,38.4,0.03,2,2,1,3,1,5.45,2
"355400",70.6,4.13,0.47,24.69,0.11,4,1,3,1,4,4.71,1
"355410",69.89,4.95,0.63,24.45,0.08,4,2,3,1,3,5.66,2
"355420",70.39,2.62,0.17,26.73,0.1,4,1,1,1,4,2.89,1
"355430",44.22,6.27,0.73,48.73,0.06,1,3,3,4,2,7.06,3
"355440",61.88,5.26,0.85,31.96,0.05,3,2,4,2,2,6.16,2
"355450",69.2,5.82,0.28,24.67,0.03,4,3,2,1,1,6.13,2
"355460",75.73,2.96,0.04,21.19,0.08,4,1,1,1,3,3.08,1
"355465",72.78,4.35,0.39,22.48,NA,4,1,3,1,NA,NA,NA
"355470",75.52,2.75,0.06,21.65,NA,4,1,1,1,NA,NA,NA
"355475",50.54,6.96,0.12,42.15,0.24,1,4,1,4,4,7.32,3
"355480",64.71,5.24,0.58,29.05,0.11,3,2,3,2,4,5.93,2
"355490",61.27,5.73,0.73,32.16,0.1,3,3,3,2,4,6.56,3
"355495",65.95,3.28,0.69,30.05,0.03,3,1,3,2,1,4,1
"355500",59.27,4.38,2.41,33.79,0.14,2,1,4,3,4,6.93,3
"355510",67.6,3.63,1.21,27.52,0.03,4,1,4,1,1,4.87,1
"355520",68.43,6.11,0.28,25.08,0.11,4,3,2,1,4,6.5,3
"355530",74.84,3.95,0.18,21.03,NA,4,1,1,1,NA,NA,NA
"355535",52.62,5.33,0.19,41.79,0.07,1,2,1,4,3,5.59,2
"355540",53.18,7.92,0.75,37.56,0.59,2,4,3,3,4,9.26,4
"355550",61.98,2.83,0.19,35,NA,3,1,1,3,NA,NA,NA
"355560",66.37,4.62,0.11,28.9,0.01,3,2,1,2,1,4.74,1
"355570",55.52,8.8,0.25,35.43,NA,2,4,2,3,NA,NA,NA
"355580",66.29,2.54,1.55,29.6,0.02,3,1,4,2,1,4.11,1
"355590",72.24,4.18,NA,23.58,NA,4,1,NA,1,NA,NA,NA
"355600",73.2,2.83,0.15,23.69,0.14,4,1,1,1,4,3.12,1
"355610",61.13,4.46,0.45,33.9,0.06,3,2,3,3,2,4.97,1
"355620",72.48,4.35,0.91,22.2,0.07,4,1,4,1,3,5.33,2
"355630",43.32,7.99,0.58,48.08,0.02,1,4,3,4,1,8.59,4
"355635",68.9,4.19,0.53,26.38,NA,4,1,3,1,NA,NA,NA
"355640",68.92,4.87,0.17,26.01,0.03,4,2,1,1,1,5.07,1
"355645",56.8,7.02,2.09,34.02,0.07,2,4,4,3,3,9.18,4
"355650",54.34,7.88,0.21,37.51,0.05,2,4,2,3,2,8.14,4
"355660",54.39,5.11,0.61,39.85,0.04,2,2,3,4,2,5.76,2
"355670",68.3,5.55,0.95,25.15,0.06,4,2,4,1,2,6.56,3
"355680",62.98,4.68,0.55,31.71,0.07,3,2,3,2,3,5.3,2
"355690",52.23,7.51,0.25,40,0.01,1,4,2,4,1,7.77,3
"355695",57.58,6.13,0.5,35.79,NA,2,3,3,3,NA,NA,NA
"355700",68.39,4.97,0.58,25.99,0.06,4,2,3,1,2,5.61,2
"355710",66.6,5.17,0.91,27.26,0.05,3,2,4,1,2,6.13,2
"355715",60.03,3.68,1.37,34.92,NA,2,1,4,3,NA,NA,NA
"355720",61.1,6.42,0.29,32.17,0.02,3,3,2,2,1,6.73,3
"355730",70.77,3.83,0.25,25.05,0.1,4,1,2,1,4,4.18,1
