cod_ibge,nome_municipio,n_years,hosp_0_14_total,poison_0_14_total,hosp_pest_0_14_total,poison_pest_0_14_total,pop_0_14_person_years,pop_0_14_mean_annual,pop_0_14_2024,hosp_rate_0_14_per100k_yr,poison_rate_0_14_per100k_yr,hosp_pest_rate_0_14_per100k_yr,poison_pest_rate_0_14_per100k_yr
355130,Sebastianópolis do Sul,11,3,11,0,1,6495,590,605,46.19,169.36,0,15.4
351530,Estrela do Norte,11,4,5,0,0,6417,583,538,62.33,77.92,0,0
354010,Pongaí,11,3,2,0,1,6335,576,552,47.36,31.57,0,15.79
350620,Bento de Abreu,11,0,7,0,1,6304,573,554,0,111.04,0,15.86
352885,Marapoama,11,0,13,0,1,6286,571,635,0,206.81,0,15.91
352790,Lutécia,11,1,7,0,0,6083,553,530,16.44,115.07,0,0
354830,Santo Expedito,11,2,8,0,0,6063,551,540,32.99,131.95,0,0
351610,Florínea,11,0,1,0,0,6003,546,514,0,16.66,0,0
352830,Magda,11,2,3,0,0,6001,546,510,33.33,49.99,0,0
351512,Emilianópolis,11,1,0,0,0,5949,541,515,16.81,0,0,0
353000,Mira Estrela,11,4,10,0,0,5932,539,550,67.43,168.58,0,0
355715,Zacarias,11,0,10,0,1,5872,534,533,0,170.3,0,17.03
355365,Taquaral,11,0,9,0,2,5708,519,447,0,157.67,0,35.04
350775,Brejo Alegre,11,0,5,0,1,5634,512,468,0,88.75,0,17.75
354470,Sagres,11,4,2,0,0,5567,506,511,71.85,35.93,0,0
351090,Cássia dos Coqueiros,11,1,1,0,0,5560,505,460,17.99,17.99,0,0
353715,Pedrinhas Paulista,11,0,1,0,0,5550,505,461,0,18.02,0,0
353625,Parisi,11,5,7,0,0,5519,502,565,90.6,126.83,0,0
351650,Gabriel Monteiro,11,0,2,0,0,5414,492,489,0,36.94,0,0
355460,Timburi,11,3,4,0,0,5400,491,426,55.56,74.07,0,0
353380,Óleo,11,1,3,0,1,5353,487,440,18.68,56.04,0,18.68
350315,Arapeí,11,0,1,0,0,5330,485,416,0,18.76,0,0
354610,Santa Clara d'Oeste,11,0,5,0,1,5313,483,567,0,94.11,0,18.82
354030,Pontes Gestal,11,4,4,0,1,5270,479,460,75.9,75.9,0,18.98
353690,Pedranópolis,11,3,7,0,0,5203,473,442,57.66,134.54,0,0
352750,Lucianópolis,11,3,0,0,0,5179,471,430,57.93,0,0,0
354920,São João das Duas Pontes,11,4,14,0,1,5140,467,445,77.82,272.37,0,19.46
351010,Cândido Rodrigues,11,3,4,0,0,5047,459,449,59.44,79.26,0,0
354900,São Francisco,11,2,8,0,2,5034,458,397,39.73,158.92,0,39.73
354625,Santa Cruz da Esperança,11,4,1,0,0,5007,455,424,79.89,19.97,0,0
353450,Oscar Bressane,11,1,9,0,0,4856,441,393,20.59,185.34,0,0
351495,Embaúba,11,2,5,0,0,4835,440,393,41.37,103.41,0,0
353310,Nova Guataporanga,11,0,3,0,1,4516,411,413,0,66.43,0,22.14
350060,Águas de São Pedro,11,8,6,0,0,4497,409,383,177.9,133.42,0,0
354740,Santa Rita d'Oeste,11,1,10,0,0,4480,407,435,22.32,223.21,0,0
353657,Paulistânia,11,0,2,0,0,4457,405,434,0,44.87,0,0
355465,Torre de Pedra,11,1,2,0,0,4426,402,361,22.59,45.19,0,0
350335,Arco-Íris,11,1,4,0,0,4417,402,416,22.64,90.56,0,0
352965,Mesópolis,11,0,3,0,1,4338,394,380,0,69.16,0,23.05
351590,Floreal,11,0,6,0,0,4303,391,373,0,139.44,0,0
351420,Dolcinópolis,11,2,6,0,0,4184,380,364,47.8,143.4,0,0
351330,Cruzália,11,0,0,0,0,4168,379,355,0,0,0,0
351800,Guarani d'Oeste,11,6,11,0,2,4129,375,342,145.31,266.41,0,48.44
355475,Trabiju,11,4,0,0,0,4046,368,342,98.86,0,0,0
355570,União Paulista,11,2,8,0,1,4038,367,370,49.53,198.12,0,24.76
354925,São João de Iracema,11,0,0,0,0,4012,365,363,0,0,0,0
352725,Lourdes,11,1,5,0,1,3996,363,343,25.03,125.13,0,25.03
354930,São João do Pau d'Alho,11,3,2,0,2,3989,363,372,75.21,50.14,0,50.14
353100,Monções,11,1,6,0,0,3879,353,325,25.78,154.68,0,0
354323,Ribeirão dos Índios,11,0,0,0,0,3870,352,317,0,0,0,0
351565,Fernão,11,1,4,0,1,3744,340,338,26.71,106.84,0,26.71
355695,Vitória Brasil,11,1,7,0,0,3670,334,311,27.25,190.74,0,0
350395,Aspásia,11,3,6,0,0,3662,333,342,81.92,163.84,0,0
355520,Turiúba,11,1,1,0,0,3599,327,312,27.79,27.79,0,0
353284,Nova Canaã Paulista,11,0,4,0,0,3428,312,286,0,116.69,0,0
352910,Marinópolis,11,1,3,0,0,3362,306,262,29.74,89.23,0,0
354085,Pracinha,11,0,0,0,0,3261,296,254,0,0,0,0
351385,Dirce Reis,11,0,4,0,2,3183,289,263,0,125.67,0,62.83
350470,Balbinos,11,4,1,0,0,2957,269,251,135.27,33.82,0,0
354765,Santa Salete,11,3,2,0,0,2917,265,280,102.85,68.56,0,0
351580,Flora Rica,11,1,0,0,0,2882,262,238,34.7,0,0,0
355590,Uru,11,1,2,0,0,2806,255,275,35.64,71.28,0,0
354720,Santana da Ponte Pensa,11,2,2,0,0,2735,249,235,73.13,73.13,0,0
353286,Nova Castilho,11,3,4,0,1,2633,239,223,113.94,151.92,0,37.98
355530,Turmalina,11,2,6,0,0,2438,222,201,82.03,246.1,0,0
350720,Borá,11,0,2,0,0,1946,177,188,0,102.77,0,0
