cod_ibge;nome_municipio;censo_total_estab;censo_estab_usou_agrotox;censo_pct_uso_agrotox;censo_valor_agrotox_mil;censo_n_estab_agrotox;pam_area_colhida_ha;pam_area_plantada_ha;pam_qtd_produzida;pam_valor_prod_mil_reais;sih_n_internacoes_intox;sih_n_internacoes_agrotox;sih_n_obitos_intox;sinan_n_notificacoes_intox;sinan_n_casos_contexto_agric;sisagua_n_amostras;sisagua_n_deteccoes_quant;sisagua_n_agrotox_detectados
355070;São Sebastião (SP);25;1;4,0;NA;1;65;65;NA;4779;3;0;0;133;0;782;0;0
355080;São Sebastião da Grama (SP);271;167;61,6;2452,954;167;6585;7285;NA;117790;1;0;0;16;1;85;41;22
355090;São Simão (SP);250;121;48,4;7300,512;121;30959;30959;NA;189492;2;0;0;1;0;223;135;27
355100;São Vicente (SP);7;NA;NA;NA;NA;NA;NA;NA;NA;38;0;6;204;0;96;0;0
355110;Sarapuí (SP);348;136;39,1;2476,924;136;4291;4291;NA;71917;1;0;0;0;0;311;0;0
355120;Sarutaiá (SP);125;56;44,8;2078,243;56;7860;7860;NA;79831;2;0;0;13;1;102;0;0
355130;Sebastianópolis do Sul (SP);216;43;19,9;23254,505;43;7880;7880;NA;90744;0;0;0;3;0;102;54;27
355140;Serra Azul (SP);136;22;16,2;1722,872;22;17180;17180;NA;113029;1;0;0;3;0;89;0;0
355150;Serrana (SP);19;10;52,6;21582,726;10;7882;7882;NA;50258;13;0;1;6;0;1158;1;1
355160;Serra Negra (SP);492;266;54,1;1205,604;266;3510;3510;NA;104431;14;0;0;32;0;256;0;0
355170;Sertãozinho (SP);139;114;82,0;3680,168;114;29740;29740;NA;329308;18;0;0;20;0;1422;54;27
355180;Sete Barras (SP);816;299;36,6;2091,845;299;7126;7126;NA;206586;1;0;0;7;1;176;0;0
355190;Severínia (SP);97;71;73,2;2909,929;71;9041;9041;NA;100861;5;0;1;26;0;654;2;2
355200;Silveiras (SP);338;13;3,8;12,305;13;87;87;NA;1318;5;0;0;2;0;146;0;0
355210;Socorro (SP);1749;557;31,8;2737,950;557;7128;7128;NA;148563;9;0;0;42;0;290;0;0
355220;Sorocaba (SP);193;69;35,8;1337,046;69;2039;2039;NA;33328;51;0;3;372;1;6406;329;22
355230;Sud Mennucci (SP);200;86;43,0;14406,233;86;15086;15086;NA;204535;2;0;0;40;4;172;0;0
355240;Sumaré (SP);170;97;57,1;4688,061;97;2259;2284;NA;243838;40;0;1;238;1;3360;129;27
355250;Suzano (SP);349;230;65,9;1673,430;230;5;5;NA;51;25;0;3;227;0;1530;100;24
355255;Suzanápolis (SP);282;35;12,4;5956,961;35;12858;12858;NA;129700;0;0;0;1;0;324;0;0
355260;Tabapuã (SP);229;115;50,2;4533,250;115;22811;22811;NA;299721;2;0;0;27;0;0;0;0
355270;Tabatinga (SP);429;253;59,0;2157,476;253;22358;22358;NA;255936;4;0;0;4;0;877;0;0
355280;Taboão da Serra (SP);2;1;50,0;NA;1;NA;NA;NA;NA;84;0;0;435;0;2321;45;22
355290;Taciba (SP);194;58;29,9;7428,685;58;36234;36234;NA;209765;1;0;0;1;0;91;0;0
355300;Taguaí (SP);165;83;50,3;2612,234;83;7661;7661;NA;68662;0;0;0;10;0;84;0;0
355310;Taiaçu (SP);187;164;87,7;5535,127;164;9327;9327;NA;122286;2;0;1;28;1;378;0;0
355320;Taiúva (SP);164;128;78,0;2830,619;128;9462;9462;NA;108732;1;0;0;9;0;236;0;0
355330;Tambaú (SP);258;132;51,2;11679,178;132;24586;24586;NA;310132;5;0;0;12;0;200;66;25
355340;Tanabi (SP);1062;400;37,7;25997,482;400;33135;33135;NA;397052;5;0;0;58;1;37;1;1
355350;Tapiraí (SP);141;71;50,4;108,490;71;510;510;NA;4630;5;0;1;11;0;178;1;1
355360;Tapiratiba (SP);93;60;64,5;4331,223;60;6591;6591;NA;79968;5;0;0;10;0;222;0;0
355365;Taquaral (SP);45;38;84,4;7065,458;38;4744;4744;NA;88050;0;0;0;3;0;189;0;0
355370;Taquaritinga (SP);559;467;83,5;17918,607;467;39704;39704;NA;412387;29;0;0;71;1;702;118;27
355380;Taquarituba (SP);594;310;52,2;25594,086;310;43279;43279;NA;483847;6;0;1;20;0;220;1;1
355385;Taquarivaí (SP);116;71;61,2;21624,107;71;22431;22431;NA;308926;0;0;0;2;0;268;0;0
355390;Tarabai (SP);126;12;9,5;1500,300;12;3555;3555;NA;25469;0;0;0;2;0;91;0;0
355395;Tarumã (SP);80;69;86,2;15351,492;69;34601;34601;NA;316167;1;0;0;6;0;183;27;27
355400;Tatuí (SP);342;93;27,2;15236,229;93;21648;21648;NA;294461;7;0;0;77;0;1766;110;27
