cod_ibge;nome_municipio;censo_total_estab;censo_estab_usou_agrotox;censo_pct_uso_agrotox;censo_valor_agrotox_mil;censo_n_estab_agrotox;pam_area_colhida_ha;pam_area_plantada_ha;pam_qtd_produzida;pam_valor_prod_mil_reais;sih_n_internacoes_intox;sih_n_internacoes_agrotox;sih_n_obitos_intox;sinan_n_notificacoes_intox;sinan_n_casos_contexto_agric;sisagua_n_amostras;sisagua_n_deteccoes_quant;sisagua_n_agrotox_detectados
350520;Bariri (SP);369;265;71,8;3582,494;265;28705;28705;NA;304200;12;0;0;13;0;66;0;0
350530;Barra Bonita (SP);55;30;54,5;476,060;30;8847;8847;NA;86184;2;0;0;38;0;71;0;0
350535;Barra do Chapéu (SP);441;108;24,5;755,530;108;1495;1528;NA;111950;1;0;0;2;0;170;0;0
350540;Barra do Turvo (SP);547;70;12,8;71,523;70;382;382;NA;1730;0;0;0;1;0;85;0;0
350550;Barretos (SP);975;489;50,2;46670,201;489;104313;104313;NA;1176570;27;0;3;187;0;704;427;27
350560;Barrinha (SP);22;14;63,6;687,324;14;11033;11033;NA;121671;5;0;0;12;0;216;0;0
350580;Bastos (SP);382;59;15,4;669,086;59;2232;2232;NA;22463;3;0;0;38;0;343;127;22
350590;Batatais (SP);376;290;77,1;45104,864;290;54105;54105;NA;415849;13;0;0;155;2;262;0;0
350600;Bauru (SP);395;93;23,5;4671,603;93;4453;4453;NA;72764;29;0;0;275;0;10104;318;27
350610;Bebedouro (SP);599;384;64,1;20059,706;384;49761;49761;NA;590966;7;0;0;67;0;933;21;21
350620;Bento de Abreu (SP);55;13;23,6;3458,630;13;17425;17425;NA;142201;0;0;0;1;0;98;2;2
350630;Bernardino de Campos (SP);254;171;67,3;6227,374;172;11005;11005;NA;98252;5;0;1;36;0;172;0;0
350640;Bilac (SP);263;106;40,3;1788,409;106;7125;7125;NA;82050;2;0;0;4;0;216;0;0
350650;Birigui (SP);650;288;44,3;5821,147;288;40140;40140;NA;340394;9;0;0;156;0;2431;0;0
350660;Biritiba Mirim (SP);433;349;80,6;3521,551;349;98;98;NA;2398;8;0;0;47;0;242;0;0
350670;Boa Esperança do Sul (SP);167;63;37,7;9811,910;63;43168;43168;NA;552917;3;0;0;0;0;230;27;27
350680;Bocaina (SP);131;78;59,5;1476,689;78;17162;17162;NA;170518;2;0;0;0;0;425;21;21
350690;Bofete (SP);227;39;17,2;1939,921;39;1535;1535;NA;49867;0;0;0;16;1;370;0;0
350700;Boituva (SP);191;66;34,6;633,351;66;7279;7279;NA;129362;8;0;0;5;0;624;27;27
350710;Bom Jesus dos Perdões (SP);65;26;40,0;102,230;26;54;54;NA;1737;1;0;0;13;0;44;0;0
350715;Bom Sucesso de Itararé (SP);56;15;26,8;13,705;15;205;205;NA;6350;0;0;0;3;0;91;0;0
350720;Borá (SP);38;14;36,8;8984,759;14;5992;5992;NA;54993;1;0;0;0;0;97;0;0
350730;Boracéia (SP);72;45;62,5;3294,308;45;8238;8238;NA;80463;1;0;0;0;0;96;0;0
350740;Borborema (SP);410;189;46,1;10036,451;189;35735;35735;NA;376851;9;0;0;47;0;750;2;2
350745;Borebi (SP);70;13;18,6;4416,987;13;7524;7524;NA;83256;0;0;0;2;0;36;36;21
350750;Botucatu (SP);359;144;40,1;28769,801;144;38790;38790;NA;496955;61;0;0;670;0;1682;68;22
350760;Bragança Paulista (SP);583;235;40,3;5510,676;235;6233;6233;NA;105420;36;0;1;277;1;1132;84;22
350770;Braúna (SP);156;74;47,4;352,220;74;7643;7643;NA;85066;4;0;0;8;0;307;0;0
350775;Brejo Alegre (SP);91;72;79,1;1581,610;72;9472;9472;NA;84404;0;0;0;7;0;43;0;0
350780;Brodowski (SP);153;97;63,4;3018,545;97;16248;16248;NA;109181;1;0;0;1;0;262;0;0
350790;Brotas (SP);396;172;43,4;14520,971;172;42123;42123;NA;498870;6;0;0;48;1;264;0;0
350800;Buri (SP);530;260;49,1;34254,311;260;56985;56985;NA;739278;0;0;0;15;1;322;0;0
350810;Buritama (SP);397;131;33,0;23518,675;131;12312;12312;NA;159462;4;0;1;26;0;972;0;0
350820;Buritizal (SP);153;73;47,7;15050,322;73;14403;14403;NA;135328;1;0;0;7;0;177;0;0
350830;Cabrália Paulista (SP);99;23;23,2;496,129;23;1464;1464;NA;26263;1;0;0;3;0;62;0;0
350840;Cabreúva (SP);102;25;24,5;417,481;25;242;242;NA;4768;4;0;1;85;0;2028;85;27
350850;Caçapava (SP);119;39;32,8;308,653;39;3440;3440;NA;37617;13;0;2;51;0;1811;241;27
350860;Cachoeira Paulista (SP);254;23;9,1;55,332;23;362;362;NA;7374;9;0;0;67;0;139;0;0
350870;Caconde (SP);1262;1010;80,0;5097,238;1010;11021;11021;NA;197622;5;0;0;33;1;82;40;20
350880;Cafelândia (SP);253;97;38,3;21174,964;97;45721;45721;NA;386874;2;0;0;9;1;93;0;0
350890;Caiabu (SP);189;16;8,5;2533,885;16;6646;6646;NA;44065;1;0;0;0;0;159;1;1
350900;Caieiras (SP);18;1;5,6;NA;1;3;3;NA;25;4;0;0;117;0;533;0;0
350910;Caiuá (SP);658;113;17,2;1248,339;113;3924;3924;NA;38240;1;0;0;2;0;191;122;22
350920;Cajamar (SP);72;NA;NA;NA;NA;2;2;NA;21;26;0;0;61;0;1615;14;7
350925;Cajati (SP);520;137;26,3;6570,514;138;5588;5588;NA;213799;4;0;0;35;0;259;0;0
350930;Cajobi (SP);181;112;61,9;6759,100;112;11901;11901;NA;145941;3;0;0;17;0;74;0;0
350940;Cajuru (SP);736;256;34,8;1798,718;256;26705;26705;NA;188071;26;0;1;4;0;387;88;22
350945;Campina do Monte Alegre (SP);141;58;41,1;2774,563;58;12329;12329;NA;138470;0;0;0;0;0;186;0;0
350950;Campinas (SP);582;269;46,2;4138,711;269;4192;4192;NA;93815;183;1;4;818;1;6182;114;22
350960;Campo Limpo Paulista (SP);15;4;26,7;14,180;4;NA;NA;NA;NA;32;0;0;45;0;119;0;0
350970;Campos do Jordão (SP);34;7;20,6;18,800;7;NA;NA;NA;NA;9;0;0;90;0;322;161;25
350980;Campos Novos Paulista (SP);191;118;61,8;10162,424;118;37633;37633;NA;278955;3;0;0;26;0;0;0;0
350990;Cananéia (SP);115;11;9,6;156,000;12;610;610;NA;10666;5;0;0;12;0;201;0;0
350995;Canas (SP);41;16;39,0;45,430;16;400;400;NA;3480;0;0;0;2;0;119;0;0
351000;Cândido Mota (SP);351;320;91,2;19746,522;320;71510;71510;NA;671288;7;0;0;43;1;30;0;0
351010;Cândido Rodrigues (SP);134;120;89,6;2161,305;120;3823;3823;NA;67739;3;0;0;0;0;101;0;0
351015;Canitar (SP);21;11;52,4;1702,257;11;4950;4950;NA;36789;2;0;0;3;0;0;0;0
351020;Capão Bonito (SP);760;512;67,4;32010,146;512;51245;51250;NA;739075;6;0;0;45;0;798;0;0
351030;Capela do Alto (SP);157;45;28,7;2461,607;45;4486;4536;NA;129080;2;0;0;27;0;276;0;0
351040;Capivari (SP);133;65;48,9;2617,400;65;21840;21840;NA;247393;5;0;0;45;0;1574;17;17
351050;Caraguatatuba (SP);87;23;26,4;354,451;23;81;81;NA;2439;13;0;1;157;0;688;87;27
351070;Cardoso (SP);263;44;16,7;658,171;44;23626;23626;NA;254728;4;0;0;12;0;260;0;0
351080;Casa Branca (SP);504;350;69,4;57240,224;350;61279;61314;NA;1466107;6;0;0;64;1;420;27;27
351090;Cássia dos Coqueiros (SP);320;215;67,2;897,838;215;4791;4794;NA;68214;4;0;0;1;0;86;0;0
351100;Castilho (SP);1199;262;21,9;15541,167;262;42065;42470;NA;296619;1;0;0;47;5;747;77;22
351110;Catanduva (SP);157;97;61,8;48190,429;97;16938;16938;NA;191025;13;0;0;162;0;716;26;21
351120;Catiguá (SP);48;19;39,6;701,296;20;9181;9181;NA;104569;2;0;0;3;0;237;0;0
351130;Cedral (SP);298;79;26,5;1955,965;79;7528;7528;NA;89199;3;1;1;22;0;253;0;0
351140;Cerqueira César (SP);394;113;28,7;9264,742;113;36307;36307;NA;434667;3;0;0;19;0;595;67;27
351150;Cerquilho (SP);180;54;30,0;6098,373;54;6332;6332;NA;68865;2;0;0;20;0;245;43;22
351160;Cesário Lange (SP);197;31;15,7;3015,680;31;17105;17105;NA;204684;2;0;0;6;0;825;0;0
351170;Charqueada (SP);107;48;44,9;27176,274;48;9653;9653;NA;106240;6;0;0;28;0;174;0;0
351190;Clementina (SP);127;42;33,1;25977,406;42;6331;6331;NA;67093;5;0;0;10;0;311;0;0
351200;Colina (SP);200;159;79,5;18944,345;159;30351;30351;NA;337078;4;0;0;29;0;380;73;26
351210;Colômbia (SP);221;117;52,9;63076,549;117;54256;54256;NA;701967;5;0;0;9;1;334;87;27
351220;Conchal (SP);359;259;72,1;18486,599;259;14463;14463;NA;184076;2;0;0;15;0;304;0;0
351230;Conchas (SP);509;52;10,2;14881,117;52;4218;4218;NA;33722;5;0;0;22;0;92;1;1
351240;Cordeirópolis (SP);120;61;50,8;14918,190;61;9409;9409;NA;101684;0;0;0;13;0;528;148;27
351250;Coroados (SP);332;146;44,0;2885,682;146;17512;17512;NA;198963;0;0;0;14;0;91;0;0
351260;Coronel Macedo (SP);284;150;52,8;9316,160;150;24326;24326;NA;223302;1;0;0;1;0;220;0;0
351270;Corumbataí (SP);355;135;38,0;1772,176;135;5270;5272;NA;49910;0;0;0;2;0;667;42;22
351280;Cosmópolis (SP);178;66;37,1;2903,112;66;7034;7034;NA;81631;8;0;0;36;0;421;2;2
351290;Cosmorama (SP);598;165;27,6;1974,065;165;21748;21748;NA;252353;9;0;0;22;0;0;0;0
351300;Cotia (SP);183;118;64,5;907,200;118;NA;NA;NA;NA;48;0;1;344;0;1420;0;0
351310;Cravinhos (SP);113;79;69,9;5750,757;79;22690;22690;NA;143096;5;0;0;5;0;125;22;22
351320;Cristais Paulista (SP);444;308;69,4;8123,885;308;14950;14950;NA;372174;4;0;0;0;0;22;0;0
351330;Cruzália (SP);97;93;95,9;5061,551;93;19077;19077;NA;131010;0;0;0;1;1;91;1;1
351340;Cruzeiro (SP);192;18;9,4;57,730;18;292;292;NA;7225;13;0;1;120;0;88;0;0
351350;Cubatão (SP);3;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0;118;0;378;0;0
351360;Cunha (SP);2287;128;5,6;134,886;128;842;842;NA;5434;10;0;0;21;0;0;0;0
351370;Descalvado (SP);396;142;35,9;9366,956;142;39894;39910;NA;509688;6;0;0;14;0;939;38;21
351380;Diadema (SP);16;NA;NA;NA;NA;NA;NA;NA;NA;46;0;1;669;0;933;90;27
351385;Dirce Reis (SP);131;13;9,9;63,062;13;2086;2086;NA;22949;0;0;0;1;0;89;0;0
351390;Divinolândia (SP);633;392;61,9;10173,140;392;5424;5424;NA;139584;1;0;0;6;0;264;1;1
351400;Dobrada (SP);29;12;41,4;10843,700;12;10777;10777;NA;71423;1;0;0;2;0;390;0;0
351410;Dois Córregos (SP);367;261;71,1;4056,913;261;43907;43907;NA;516273;10;0;1;4;0;447;34;22
351420;Dolcinópolis (SP);107;51;47,7;621,490;51;3489;3489;NA;53508;2;0;0;4;0;100;1;1
351430;Dourado (SP);63;33;52,4;6443,231;33;6006;6006;NA;53291;3;0;0;7;0;358;0;0
351440;Dracena (SP);572;134;23,4;5435,873;134;16389;16486;NA;142885;6;0;0;30;0;258;216;27
351450;Duartina (SP);248;54;21,8;1377,469;54;1832;1832;NA;47851;2;0;0;4;0;88;0;0
351460;Dumont (SP);178;168;94,4;1754,223;168;10108;10108;NA;112174;3;0;0;5;1;187;0;0
351470;Echaporã (SP);272;85;31,2;5991,694;85;13674;13704;NA;164363;1;0;0;5;0;162;27;27
351480;Eldorado (SP);848;346;40,8;2106,343;351;5860;5860;NA;163543;2;0;0;7;0;371;1;1
351490;Elias Fausto (SP);295;184;62,4;2459,599;184;8400;8400;NA;82854;2;0;0;14;0;647;44;27
351492;Elisiário (SP);49;28;57,1;640,585;28;6297;6297;NA;63422;1;0;0;9;0;324;0;0
351495;Embaúba (SP);63;44;69,8;1774,892;44;6431;6431;NA;56528;0;0;0;1;0;37;0;0
351500;Embu das Artes (SP);27;15;55,6;76,210;15;NA;NA;NA;NA;37;0;2;387;0;897;0;0
351510;Embu-Guaçu (SP);105;49;46,7;387,025;49;9;9;NA;346;39;0;0;223;0;285;2;2
351512;Emilianópolis (SP);194;28;14,4;2103,357;28;6130;6130;NA;58038;1;0;0;0;0;90;0;0
351515;Engenheiro Coelho (SP);317;144;45,4;2680,870;144;5845;5845;NA;97658;0;0;0;8;0;263;0;0
351518;Espírito Santo do Pinhal (SP);481;294;61,1;4618,149;294;10867;10867;NA;320719;6;0;0;94;0;392;1;1
351519;Espírito Santo do Turvo (SP);97;31;32,0;5038,906;31;7746;7746;NA;111075;5;0;0;10;1;136;0;0
351520;Estrela d'Oeste (SP);270;120;44,4;6243,131;120;12077;12077;NA;133432;4;0;0;12;0;147;0;0
351530;Estrela do Norte (SP);136;25;18,4;2285,284;25;5011;5011;NA;35728;0;0;0;2;0;94;1;1
351535;Euclides da Cunha Paulista (SP);751;154;20,5;1265,201;154;6608;6608;NA;60834;14;0;0;25;1;253;0;0
351540;Fartura (SP);475;266;56,0;2715,476;266;12736;12736;NA;129255;9;0;0;4;0;86;0;0
351550;Fernandópolis (SP);584;124;21,2;6027,387;124;19806;19806;NA;178464;15;0;0;163;0;147;0;0
351560;Fernando Prestes (SP);313;262;83,7;3597,196;262;12244;12244;NA;146393;1;0;0;16;0;183;0;0
351565;Fernão (SP);205;89;43,4;1435,120;89;2578;2578;NA;27239;1;0;0;1;0;100;0;0
351570;Ferraz de Vasconcelos (SP);16;6;37,5;6,310;6;NA;NA;NA;NA;19;0;1;161;0;240;0;0
351580;Flora Rica (SP);109;19;17,4;2305,120;19;5562;5562;NA;50461;2;0;0;0;0;82;0;0
351590;Floreal (SP);230;51;22,2;432,588;51;4859;4859;NA;58617;1;0;0;6;0;51;0;0
351600;Flórida Paulista (SP);512;164;32,0;5015,062;165;19755;19755;NA;176561;12;0;0;20;2;270;0;0
351610;Florínea (SP);46;41;89,1;6761,924;41;21851;21851;NA;204911;0;0;0;4;0;241;1;1
351620;Franca (SP);541;230;42,5;9962,854;230;17959;17959;NA;393650;69;0;5;228;0;358;0;0
351630;Francisco Morato (SP);26;2;7,7;NA;2;19;19;NA;210;48;0;0;175;0;0;0;0
351640;Franco da Rocha (SP);137;8;5,8;14,260;8;20;20;NA;102;15;0;0;177;0;333;123;27
351650;Gabriel Monteiro (SP);178;83;46,6;785,745;83;4723;4723;NA;56991;0;0;0;3;0;92;0;0
351660;Gália (SP);316;123;38,9;4627,864;123;6197;6197;NA;82837;0;0;0;2;0;100;0;0
351670;Garça (SP);578;384;66,4;7837,780;385;13166;13166;NA;158617;6;0;0;92;2;381;293;27
351680;Gastão Vidigal (SP);209;44;21,1;319,668;44;6431;6431;NA;55055;0;0;0;2;0;100;0;0
351685;Gavião Peixoto (SP);56;36;64,3;7947,321;36;10964;10964;NA;145160;1;0;0;7;0;141;27;27
351690;General Salgado (SP);354;106;29,9;2374,748;106;15979;15983;NA;148013;0;0;0;14;0;301;0;0
351700;Getulina (SP);218;60;27,5;3890,107;60;25460;25460;NA;244428;2;0;1;3;0;0;0;0
351710;Glicério (SP);248;106;42,7;2446,343;106;17019;17019;NA;142482;0;0;0;5;0;250;41;20
351720;Guaiçara (SP);124;37;29,8;3839,508;37;10444;10444;NA;93545;5;0;0;9;0;318;41;21
351730;Guaimbê (SP);86;28;32,6;3373,400;28;5860;5860;NA;76255;2;0;0;8;0;0;0;0
351740;Guaíra (SP);313;207;66,1;65847,674;207;111546;111546;NA;1128459;6;1;1;24;0;351;88;21
351750;Guapiaçu (SP);510;129;25,3;3502,999;129;16323;16323;NA;210335;4;0;0;46;2;1045;0;0
351760;Guapiara (SP);819;630;76,9;8912,692;631;16502;17002;NA;308385;5;0;0;45;5;706;0;0
351770;Guará (SP);146;90;61,6;2639,444;90;27883;27883;NA;227864;8;0;1;5;0;342;21;21
351780;Guaraçaí (SP);402;180;44,8;3226,779;180;28961;28961;NA;259249;5;0;0;1;0;310;310;27
351790;Guaraci (SP);189;79;41,8;14556,618;79;42846;42846;NA;460664;2;0;0;10;0;78;0;0
351800;Guarani d'Oeste (SP);93;28;30,1;1032,619;28;2247;2247;NA;18371;1;0;0;5;0;49;0;0
351810;Guarantã (SP);298;128;43,0;4243,941;128;16243;16244;NA;183151;0;0;0;11;0;111;40;20
351820;Guararapes (SP);362;127;35,1;6083,391;127;54416;54416;NA;425794;2;0;0;52;1;198;0;0
351830;Guararema (SP);221;100;45,2;628,263;100;336;336;NA;14598;6;0;0;44;0;498;75;26
351840;Guaratinguetá (SP);372;153;41,1;547,707;153;4367;4367;NA;40068;9;0;0;84;0;1081;143;27
351850;Guareí (SP);764;184;24,1;824,984;184;6845;6845;NA;83814;2;0;0;17;0;373;0;0
351860;Guariba (SP);82;32;39,0;1274,260;32;25207;25207;NA;275662;2;0;0;29;0;188;0;0
351870;Guarujá (SP);9;5;55,6;8,380;5;2;2;NA;3;24;0;2;133;0;172;0;0
351880;Guarulhos (SP);83;31;37,3;115,287;31;NA;NA;NA;NA;118;1;14;1095;0;4250;286;27
351885;Guatapará (SP);169;58;34,3;888,482;58;26394;26394;NA;161365;2;0;0;8;0;44;0;0
351890;Guzolândia (SP);165;78;47,3;637,428;78;4806;4806;NA;45971;2;0;0;7;0;91;0;0
351900;Herculândia (SP);428;190;44,4;6535,646;190;17940;17940;NA;216567;0;0;0;1;0;69;27;27
351905;Holambra (SP);218;158;72,5;4429,474;158;2339;2339;NA;35224;3;0;1;21;0;120;36;18
351907;Hortolândia (SP);19;14;73,7;159,450;14;NA;NA;NA;NA;28;0;0;401;0;1358;7;4
351910;Iacanga (SP);171;81;47,4;11110,288;81;28959;28959;NA;310062;1;0;0;1;0;0;0;0
351920;Iacri (SP);241;83;34,4;7108,066;83;15271;15271;NA;171972;2;0;0;1;0;91;0;0
351925;Iaras (SP);432;51;11,8;14804,943;51;17748;17748;NA;433430;0;0;0;8;0;232;0;0
351930;Ibaté (SP);57;22;38,6;1397,225;22;16400;16400;NA;146033;24;0;0;13;0;162;0;0
351940;Ibirá (SP);244;119;48,8;2550,699;119;15740;15740;NA;193189;5;0;0;22;1;158;0;0
351950;Ibirarema (SP);139;120;86,3;7995,193;120;27012;27012;NA;249109;2;0;0;7;0;0;0;0
351960;Ibitinga (SP);403;162;40,2;15328,739;162;42925;42925;NA;462331;12;0;0;98;0;44;0;0
351970;Ibiúna (SP);1240;931;75,1;8675,083;932;4044;4044;NA;91886;13;0;1;37;1;331;0;0
351980;Icém (SP);86;23;26,7;471,732;23;11716;11716;NA;130876;2;0;0;2;0;92;0;0
351990;Iepê (SP);266;135;50,8;7445,309;135;41771;41771;NA;288693;0;0;0;19;1;307;0;0
352000;Igaraçu do Tietê (SP);42;22;52,4;2513,810;22;7319;7319;NA;70080;4;0;0;26;0;0;0;0
352010;Igarapava (SP);209;101;48,3;5019,297;101;28136;28136;NA;248046;2;0;0;37;0;612;75;22
352020;Igaratá (SP);120;31;25,8;20,300;31;1;1;NA;5;3;0;0;25;0;195;0;0
352030;Iguape (SP);476;217;45,6;496,536;217;3918;3918;NA;74575;3;0;1;14;0;95;0;0
352040;Ilhabela (SP);13;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0;116;0;168;0;0
352042;Ilha Comprida (SP);6;1;16,7;NA;1;NA;NA;NA;NA;1;0;0;7;0;86;0;0
352044;Ilha Solteira (SP);342;90;26,3;1484,045;90;21076;21076;NA;199489;4;0;0;36;0;253;0;0
352050;Indaiatuba (SP);332;246;74,1;3141,835;246;4606;4606;NA;62678;63;0;1;121;0;2486;159;27
352060;Indiana (SP);215;46;21,4;587,220;46;936;936;NA;13777;3;0;0;3;0;42;0;0
352070;Indiaporã (SP);201;78;38,8;1230,608;78;7396;7526;NA;65974;3;0;0;10;0;137;0;0
352080;Inúbia Paulista (SP);114;19;16,7;923,717;19;2737;2737;NA;24937;1;0;0;0;0;99;0;0
352090;Ipaussu (SP);42;15;35,7;812,912;15;19010;19010;NA;188909;2;0;0;4;0;351;0;0
352100;Iperó (SP);160;51;31,9;962,830;51;2478;2478;NA;50937;5;0;1;34;0;484;0;0
352110;Ipeúna (SP);219;79;36,1;2213,467;79;5285;5285;NA;48313;0;0;0;9;0;288;0;0
352115;Ipiguá (SP);152;29;19,1;288,764;29;3588;3588;NA;47852;2;0;0;19;0;0;0;0
352120;Iporanga (SP);363;89;24,5;179,355;89;857;857;NA;10147;1;0;0;2;1;198;0;0
352130;Ipuã (SP);105;58;55,2;14190,319;58;41015;41015;NA;376904;4;0;0;15;0;220;44;22
352140;Iracemápolis (SP);28;12;42,9;3203,497;12;7385;7385;NA;67519;2;0;0;16;0;433;0;0
352150;Irapuã (SP);211;167;79,1;9264,678;167;17807;17807;NA;256332;3;0;0;22;0;98;0;0
352160;Irapuru (SP);379;114;30,1;4350,494;114;5743;5743;NA;52727;0;0;0;3;0;260;0;0
352170;Itaberá (SP);946;656;69,3;49574,292;656;88967;88967;NA;887931;0;0;0;23;0;425;0;0
352180;Itaí (SP);613;255;41,6;45148,110;255;61735;61735;NA;805199;5;0;0;34;0;306;0;0
352190;Itajobi (SP);595;446;75,0;8413,958;446;33760;33760;NA;552935;2;0;0;40;0;420;0;0
352200;Itaju (SP);205;116;56,6;2725,548;116;10301;10301;NA;101289;2;0;0;0;0;0;0;0
352210;Itanhaém (SP);57;19;33,3;151,840;19;2821;2821;NA;63681;7;0;0;86;1;86;0;0
352215;Itaoca (SP);127;8;6,3;22,750;8;285;287;NA;8511;2;0;0;2;0;170;0;0
352220;Itapecerica da Serra (SP);87;22;25,3;62,450;22;NA;NA;NA;NA;33;0;0;103;0;406;0;0
352230;Itapetininga (SP);1291;664;51,4;44691,339;664;62962;62962;NA;1027548;20;0;1;12;0;2151;297;27
352240;Itapeva (SP);1231;704;57,2;69086,576;704;189977;189977;NA;2465795;14;0;0;92;2;619;0;0
352250;Itapevi (SP);5;2;40,0;NA;2;NA;NA;NA;NA;17;3;0;236;0;2787;1;1
352260;Itapira (SP);495;212;42,8;8810,074;212;7209;7209;NA;76408;15;0;2;158;1;1503;1;1
352265;Itapirapuã Paulista (SP);310;62;20,0;65,447;62;207;207;NA;3165;0;0;0;4;0;132;0;0
352270;Itápolis (SP);782;567;72,5;34021,980;567;66807;66807;NA;553562;13;0;0;29;0;536;0;0
352280;Itaporanga (SP);924;381;41,2;7534,824;381;25122;25122;NA;243069;1;0;0;8;0;543;0;0
352290;Itapuí (SP);80;45;56,2;831,350;45;9150;9150;NA;88645;5;0;0;29;0;286;0;0
352300;Itapura (SP);261;49;18,8;3560,064;49;17422;17422;NA;159652;0;0;0;4;0;27;27;27
352310;Itaquaquecetuba (SP);49;23;46,9;89,759;23;NA;NA;NA;NA;33;0;0;313;0;818;82;27
352320;Itararé (SP);682;351;51,5;17340,762;351;51314;51314;NA;563716;24;0;0;52;0;496;1;1
352330;Itariri (SP);214;110;51,4;1033,503;110;2912;2912;NA;92673;1;0;0;10;0;277;0;0
352340;Itatiba (SP);331;160;48,3;1341,860;160;2336;2336;NA;49284;9;0;0;63;0;1938;121;27
352350;Itatinga (SP);216;92;42,6;7423,226;92;13076;13076;NA;147970;5;0;0;47;0;251;0;0
352360;Itirapina (SP);228;59;25,9;6388,449;59;7955;7955;NA;83551;1;0;0;24;0;2395;1304;27
352370;Itirapuã (SP);205;115;56,1;2412,464;115;4986;4986;NA;140173;1;0;0;1;0;184;0;0
352380;Itobi (SP);125;66;52,8;4751,387;66;6042;6042;NA;154024;0;0;0;19;0;119;0;0
352390;Itu (SP);247;73;29,6;1601,388;73;2480;2480;NA;20584;31;0;3;43;0;4946;429;27
352400;Itupeva (SP);116;89;76,7;769,935;89;3017;3017;NA;109167;16;0;0;50;0;1892;1;1
352410;Ituverava (SP);247;130;52,6;14980,378;130;59059;59059;NA;509977;17;0;0;46;0;311;0;0
352420;Jaborandi (SP);136;114;83,8;10799,534;114;21592;21592;NA;209646;1;0;0;5;0;92;0;0
352430;Jaboticabal (SP);301;256;85,0;32285,312;256;70888;70888;NA;871768;6;0;0;8;0;631;0;0
352440;Jacareí (SP);398;69;17,3;324,075;69;42;52;NA;1971;47;0;3;277;0;3443;33;23
352450;Jaci (SP);163;31;19,0;326,555;32;8920;8920;NA;102829;1;0;0;21;0;0;0;0
352460;Jacupiranga (SP);505;120;23,8;577,408;120;3362;3362;NA;132835;1;0;0;10;0;84;0;0
352470;Jaguariúna (SP);67;43;64,2;1362,406;43;3796;3796;NA;55812;1;0;0;79;0;1849;272;27
352480;Jales (SP);1012;363;35,9;4616,066;364;8007;8007;NA;165434;5;0;0;69;0;100;0;0
352490;Jambeiro (SP);105;13;12,4;8,842;13;74;74;NA;557;2;0;0;7;0;489;0;0
352510;Jardinópolis (SP);231;163;70,6;6115,173;163;41049;41049;NA;297118;13;0;0;43;0;3132;1;1
352520;Jarinu (SP);188;124;66,0;1621,190;124;743;743;NA;15892;7;0;0;55;0;976;15;15
352530;Jaú (SP);333;218;65,5;5649,702;218;51020;51030;NA;518137;57;0;0;112;0;1739;0;0
352540;Jeriquara (SP);80;63;78,8;4848,871;63;9409;10609;NA;166650;4;0;0;1;0;91;0;0
352550;Joanópolis (SP);210;26;12,4;160,586;26;367;367;NA;14872;2;0;1;19;0;249;0;0
352560;João Ramalho (SP);283;61;21,6;2077,935;61;14568;14831;NA;91599;1;0;0;2;0;162;0;0
352570;José Bonifácio (SP);648;173;26,7;18816,282;173;41988;41988;NA;407539;5;0;1;35;0;1028;0;0
352580;Júlio Mesquita (SP);58;20;34,5;1765,321;20;1736;1736;NA;28273;1;0;0;12;0;0;0;0
352585;Jumirim (SP);113;29;25,7;130,161;29;1250;1250;NA;12904;0;0;0;0;0;307;285;27
352590;Jundiaí (SP);399;243;60,9;1092,797;244;2933;2933;NA;114594;76;0;0;443;0;4403;109;27
352600;Junqueirópolis (SP);537;152;28,3;11564,108;152;27741;27820;NA;232574;7;0;0;13;0;106;27;27
352610;Juquiá (SP);376;116;30,9;760,031;116;3348;3348;NA;84658;4;0;0;5;0;282;0;0
352620;Juquitiba (SP);123;5;4,1;8,360;5;NA;NA;NA;NA;8;0;0;9;0;252;0;0
352630;Lagoinha (SP);257;85;33,1;77,462;85;215;215;NA;1671;0;0;0;15;0;88;0;0
352640;Laranjal Paulista (SP);461;96;20,8;5793,720;96;4786;4786;NA;41724;4;0;0;24;0;643;113;22
352650;Lavínia (SP);276;135;48,9;3260,320;135;24265;24265;NA;191294;3;0;0;7;1;0;0;0
352660;Lavrinhas (SP);61;6;9,8;20,100;6;59;59;NA;964;4;0;0;14;0;102;0;0
352670;Leme (SP);267;204;76,4;7519,628;204;25073;25073;NA;323102;14;0;0;52;0;1311;2;1
352680;Lençóis Paulista (SP);273;99;36,3;23012,262;99;43682;43682;NA;401969;4;0;0;63;0;2010;3;2
352690;Limeira (SP);936;547;58,4;8680,154;547;26439;26539;NA;299957;30;0;1;325;0;3965;63;22
352700;Lindóia (SP);64;18;28,1;41,625;18;221;221;NA;5850;1;0;0;7;0;176;1;1
352710;Lins (SP);137;54;39,4;3537,641;54;23927;23927;NA;184024;16;0;1;51;0;720;99;27
352720;Lorena (SP);189;88;46,6;260,654;88;271;271;NA;2111;11;0;1;40;0;1276;72;27
352725;Lourdes (SP);112;37;33,0;226,592;37;2406;2406;NA;15827;0;0;0;4;0;50;0;0
352730;Louveira (SP);136;110;80,9;875,610;110;556;557;NA;29076;31;0;0;55;0;755;9;3
352740;Lucélia (SP);443;150;33,9;5862,094;150;10423;10429;NA;83610;7;0;0;4;0;227;0;0
